7.038s chrony-wait.service
3.776s sys-module-fuse.device
3.690s sys-module-configfs.device
3.678s dev-ttyS2.device
3.678s sys-devices-platform-serial8250-tty-ttyS2.device
3.678s dev-ttyS1.device
3.678s sys-devices-platform-serial8250-tty-ttyS1.device
3.677s dev-ttyS3.device
3.677s sys-devices-platform-serial8250-tty-ttyS3.device
3.675s sys-devices-pnp0-00:04-tty-ttyS0.device
3.675s dev-ttyS0.device
3.541s dev-disk-by\x2dpartuuid-fa8cd102\x2d5e92\x2d554e\x2dac90\x2da1f2e48e1148.device
3.541s dev-disk-by\x2duuid-4ecca397\x2da59d\x2d4c38\x2d8f81\x2dfc4aa643d1a2.device
3.534s dev-disk-by\x2did-nvme\x2duuid.d4eff731\x2d0ca8\x2d524c\x2d8aec\x2d3e8dd09070c2\x2dpart1.device
3.534s dev-disk-by\x2did-nvme\x2dAmazon_Elastic_Block_Store_vol0e5212c86d899f1be_1\x2dpart1.device
3.534s sys-devices-pci0000:00-0000:00:04.0-nvme-nvme0-nvme0n1-nvme0n1p1.device
3.534s dev-disk-by\x2dpath-pci\x2d0000:00:04.0\x2dnvme\x2d1\x2dpart1.device
3.534s dev-nvme0n1p1.device
3.534s dev-disk-by\x2dpartuuid-269357c1\x2d2a68\x2dba45\x2d96fd\x2d3054dd657a64.device
3.534s dev-disk-by\x2did-nvme\x2dAmazon_Elastic_Block_Store_vol0e5212c86d899f1be\x2dpart1.device
3.534s dev-disk-by\x2dpartlabel-BIOS\x2dBOOT.device
3.529s dev-disk-by\x2did-nvme\x2dAmazon_Elastic_Block_Store_vol0e5212c86d899f1be_1.device
3.529s dev-disk-by\x2ddiskseq-1.device
3.529s dev-disk-by\x2did-nvme\x2dAmazon_Elastic_Block_Store_vol0e5212c86d899f1be.device
3.529s sys-devices-pci0000:00-0000:00:04.0-nvme-nvme0-nvme0n1.device
3.529s dev-disk-by\x2dpath-pci\x2d0000:00:04.0\x2dnvme\x2d1.device
3.529s dev-nvme0n1.device
3.529s dev-disk-by\x2did-nvme\x2duuid.d4eff731\x2d0ca8\x2d524c\x2d8aec\x2d3e8dd09070c2.device
3.500s sys-subsystem-net-devices-ens5.device
3.500s sys-devices-pci0000:00-0000:00:05.0-net-ens5.device
3.440s dev-disk-by\x2did-nvme\x2dAmazon_Elastic_Block_Store_vol0e5212c86d899f1be\x2dpart2.device
3.440s sys-devices-pci0000:00-0000:00:04.0-nvme-nvme0-nvme0n1-nvme0n1p2.device
3.440s dev-disk-by\x2dlabel-EFI\x2dSYSTEM.device
3.440s dev-disk-by\x2did-nvme\x2duuid.d4eff731\x2d0ca8\x2d524c\x2d8aec\x2d3e8dd09070c2\x2dpart2.device
3.440s dev-nvme0n1p2.device
3.440s dev-disk-by\x2dpartlabel-EFI\x2dSYSTEM.device
3.440s dev-disk-by\x2duuid-7B77\x2d95E7.device
