7.062s chrony-wait.service
 421ms ovsdb-server.service
 360ms systemd-hwdb-update.service
 351ms dracut-initqueue.service
 348ms dracut-cmdline.service
 266ms systemd-tmpfiles-setup.service
 237ms NetworkManager-wait-online.service
 192ms systemd-vconsole-setup.service
 169ms modprobe@drm.service
 162ms dev-hugepages.mount
 158ms dev-mqueue.mount
 154ms coreos-printk-quiet.service
 154ms sys-kernel-debug.mount
 150ms sys-kernel-tracing.mount
 146ms tmp.mount
 135ms ovs-vswitchd.service
 135ms kmod-static-nodes.service
 131ms lvm2-monitor.service
 130ms NetworkManager.service
 124ms crio-subid.service
 116ms modprobe@efi_pstore.service
 106ms rpc-statd.service
  97ms systemd-sysusers.service
  97ms boot.mount
  93ms systemd-udevd.service
  86ms systemd-udev-trigger.service
  82ms console-login-helper-messages-gensnippet-ssh-keys.service
  78ms systemd-journal-flush.service
  69ms chronyd.service
  68ms systemd-modules-load.service
  64ms systemd-network-generator.service
  63ms systemd-tmpfiles-setup-dev.service
  59ms systemd-logind.service
  55ms systemd-sysctl.service
  54ms dracut-pre-udev.service
  49ms kubelet-cleanup.service
  48ms auditd.service
  48ms systemd-remount-fs.service
  46ms rpcbind.service
  45ms coreos-ignition-write-issues.service
  44ms coreos-platform-chrony-config.service
  43ms dracut-shutdown.service
  42ms systemd-fsck@dev-disk-by\x2duuid-bcb64b7f\x2dc5dc\x2d4387\x2d87d6\x2d689c351eedcd.service
  39ms systemd-journald.service
  39ms initrd-udevadm-cleanup-db.service
  34ms systemd-tmpfiles-clean.service
  31ms sshd.service
  31ms dbus-broker.service
  30ms dracut-pre-trigger.service
  27ms nmstate.service
  23ms systemd-fsck-root.service
  18ms systemd-journal-catalog-update.service
  16ms dracut-pre-pivot.service
  15ms sys-fs-fuse-connections.mount
  14ms sys-kernel-config.mount
  14ms dracut-mount.service
  12ms nmstate-configuration.service
  11ms systemd-user-sessions.service
  10ms node-valid-hostname.service
  10ms systemd-update-utmp-runlevel.service
  10ms ovs-delete-transient-ports.service
   9ms initrd-parse-etc.service
   9ms systemd-update-utmp.service
   9ms kubelet-auto-node-size.service
   9ms rhsmcertd.service
   8ms wait-for-primary-ip.service
   8ms dracut-pre-mount.service
   8ms rpc-statd-notify.service
   8ms systemd-update-done.service
   7ms systemd-boot-update.service
   7ms systemd-random-seed.service
   7ms aws-kubelet-nodename.service
   6ms aws-kubelet-providerid.service
   4ms ostree-remount.service
   4ms modprobe@configfs.service
   4ms var.mount
   3ms modprobe@fuse.service
   1ms openvswitch.service
