4.122s sys-module-fuse.device
4.031s sys-module-configfs.device
4.003s sys-devices-pnp0-00:04-tty-ttyS0.device
4.003s dev-ttyS0.device
4.002s sys-devices-platform-serial8250-tty-ttyS1.device
4.002s dev-ttyS1.device
4.001s dev-ttyS2.device
4.001s sys-devices-platform-serial8250-tty-ttyS2.device
4.000s sys-devices-platform-serial8250-tty-ttyS3.device
4.000s dev-ttyS3.device
3.864s dev-disk-by\x2duuid-8bd6067e\x2dfe94\x2d4510\x2db4b8\x2d8c5073b9521a.device
3.864s dev-disk-by\x2did-nvme\x2dAmazon_Elastic_Block_Store_vol044455f0df339275a_1\x2dpart4.device
3.864s sys-devices-pci0000:00-0000:00:04.0-nvme-nvme0-nvme0n1-nvme0n1p4.device
3.860s dev-nvme0n1p1.device
3.860s dev-disk-by\x2did-nvme\x2duuid.ad04dad3\x2de348\x2d5977\x2d8552\x2dae54c8722a2a\x2dpart1.device
3.860s dev-disk-by\x2dpath-pci\x2d0000:00:04.0\x2dnvme\x2d1\x2dpart1.device
3.860s dev-disk-by\x2dpartuuid-269357c1\x2d2a68\x2dba45\x2d96fd\x2d3054dd657a64.device
3.860s dev-disk-by\x2did-nvme\x2dAmazon_Elastic_Block_Store_vol044455f0df339275a_1\x2dpart1.device
3.860s dev-disk-by\x2dpartlabel-BIOS\x2dBOOT.device
3.860s sys-devices-pci0000:00-0000:00:04.0-nvme-nvme0-nvme0n1-nvme0n1p1.device
3.860s dev-disk-by\x2did-nvme\x2dAmazon_Elastic_Block_Store_vol044455f0df339275a\x2dpart1.device
3.858s dev-nvme0n1.device
3.858s dev-disk-by\x2did-nvme\x2dAmazon_Elastic_Block_Store_vol044455f0df339275a_1.device
3.858s dev-disk-by\x2ddiskseq-1.device
3.858s dev-disk-by\x2dpath-pci\x2d0000:00:04.0\x2dnvme\x2d1.device
3.858s dev-disk-by\x2did-nvme\x2dAmazon_Elastic_Block_Store_vol044455f0df339275a.device
3.858s dev-disk-by\x2did-nvme\x2duuid.ad04dad3\x2de348\x2d5977\x2d8552\x2dae54c8722a2a.device
